city,avg_temp
Ahmadabad,26.37
Ahmadabad,26.41
Ahmadabad,25.36
Ahmadabad,25.64
Ahmadabad,
Ahmadabad,
Ahmadabad,
Ahmadabad,
Ahmadabad,
Ahmadabad,
Ahmadabad,
Ahmadabad,27.77
Ahmadabad,26.40
Ahmadabad,26.72
Ahmadabad,26.01
Ahmadabad,26.52
Ahmadabad,26.21
Ahmadabad,26.20
Ahmadabad,26.22
Ahmadabad,26.34
Ahmadabad,26.36
Ahmadabad,26.51
Ahmadabad,26.42
Ahmadabad,26.66
Ahmadabad,26.74
Ahmadabad,26.15
Ahmadabad,26.57
Ahmadabad,26.33
Ahmadabad,26.25
Ahmadabad,25.84
Ahmadabad,25.76
Ahmadabad,25.96
Ahmadabad,26.34
Ahmadabad,26.06
Ahmadabad,26.13
Ahmadabad,26.52
Ahmadabad,26.41
Ahmadabad,26.32
Ahmadabad,26.70
Ahmadabad,25.45
Ahmadabad,26.03
Ahmadabad,26.50
Ahmadabad,26.99
Ahmadabad,26.55
Ahmadabad,26.94
Ahmadabad,27.07
Ahmadabad,26.90
Ahmadabad,26.83
Ahmadabad,27.30
Ahmadabad,26.28
Ahmadabad,26.62
Ahmadabad,26.24
Ahmadabad,26.19
Ahmadabad,26.36
Ahmadabad,26.07
Ahmadabad,26.05
Ahmadabad,26.09
Ahmadabad,26.60
Ahmadabad,26.89
Ahmadabad,26.44
Ahmadabad,26.56
Ahmadabad,27.01
Ahmadabad,26.50
Ahmadabad,25.60
Ahmadabad,26.48
Ahmadabad,26.39
Ahmadabad,26.65
Ahmadabad,27.05
Ahmadabad,26.43
Ahmadabad,26.44
Ahmadabad,26.63
Ahmadabad,26.66
Ahmadabad,26.55
Ahmadabad,26.08
Ahmadabad,26.60
Ahmadabad,26.76
Ahmadabad,26.58
Ahmadabad,26.95
Ahmadabad,26.90
Ahmadabad,26.29
Ahmadabad,26.35
Ahmadabad,26.10
Ahmadabad,26.36
Ahmadabad,26.24
Ahmadabad,26.46
Ahmadabad,26.61
Ahmadabad,26.54
Ahmadabad,27.23
Ahmadabad,26.71
Ahmadabad,26.69
Ahmadabad,26.47
Ahmadabad,25.99
Ahmadabad,26.65
Ahmadabad,26.80
Ahmadabad,27.13
Ahmadabad,27.11
Ahmadabad,26.06
Ahmadabad,27.03
Ahmadabad,27.08
Ahmadabad,27.14
Ahmadabad,26.71
Ahmadabad,26.68
Ahmadabad,26.28
Ahmadabad,26.61
Ahmadabad,27.28
Ahmadabad,26.72
Ahmadabad,26.77
Ahmadabad,26.29
Ahmadabad,26.64
Ahmadabad,27.10
Ahmadabad,26.51
Ahmadabad,26.82
Ahmadabad,26.89
Ahmadabad,26.46
Ahmadabad,26.54
Ahmadabad,27.26
Ahmadabad,26.71
Ahmadabad,26.57
Ahmadabad,26.88
Ahmadabad,26.72
Ahmadabad,27.02
Ahmadabad,26.23
Ahmadabad,26.79
Ahmadabad,27.17
Ahmadabad,26.77
Ahmadabad,26.97
Ahmadabad,27.22
Ahmadabad,26.89
Ahmadabad,26.74
Ahmadabad,26.21
Ahmadabad,26.53
Ahmadabad,27.13
Ahmadabad,26.96
Ahmadabad,28.06
